Review Teks;Rating;Label;;;;;;;
Update akhir² ini sangat mengganggu. Mulai terlalu banyak iklan, lirik tidak bisa di muat di semua lagu, jika terlalu lama pause lagu dan ingin memutar lagu lagi butuh waktu buat suaranya keluar, kalo semisalkan dengerin Spotify terus langsung nonton tiktok/video terlalu lama dan saat memutar lagu lagi malah menitan (durasi waktu di lagu) akan stuck dan ga akan berubah,3;3;Negative;;;;;;;
mohon diperbaiki bug untuk lirik' yang tidak bisa dimuat, dan juga kuragin iklan itu cukup menganggu saat pemutaran lagu apalagi iklan tidak bisa di skip jika tidak pengguna premium dan juga saat menganti lagu yang saya inginkan malah jadi lagu lain yang keputar, mohon bug ini segera diperbaiki,3;3;Negative;;;Review diambil dari Most Relevant review dengan 1001 Review;;Penilaian Label :;;Menghasilkan :
"Kaya aplikasi untuk mendengarkan lagu biasa tapi banyak bug‐nya, contoh:: ""tidak dapat memuat lirik untuk lagu ini"", gabisa dengerin lagu padahal sinyal bagus.. Ya gitu dehh..😮‍💨🤧 Selebihnya apk‐nya lumayan *inti,3";3;Negative;;;;;5 = Positive;;Positive = 319
Aplikasinya sangat bagus tapi hanya untuk pengguna premium saja. Untuk pengguna free harap dipertimbangkan, karena akses sangat dibatasi. Untuk memutar musik baru saja sekarang sudah tidak bisa. Next skip lagu juga dibatasi 6x per hari. Disini bukan maksud bermental gratisan. Tapi jelas spotify sudah mulai tidak ramah untuk semua user.,2;2;Negative;;;;;4 = Positive;;Negative = 681
Dulu awal trial gak ada iklan, kualitas audionya bagus, tapi stlh habis masa trial nya jadi banyak iklan, banyak pembatasan, dan kualitas audio nya menurun drastis anyingg, terpaksa pakai tambahan equalizer. (Walaupun berbayarnya murah sih),4;4;Positive;;;;;3 = Negative;;
Kenapa ya setelah hapus data, aplikasinya jadi susah dibuka, loading terus? Terus ada satu saran, kalo yang langganan premium fasilitasnya tambahin, bukan cuma bisa dengerin offline aja. Saya langganan premium tapi kadang spotify nya gabisa digunakan di latar belakang, baru buka WhatsApp aja kadang tiba-tiba berhenti, coba tolong di perbaiki ya,3;3;Negative;;;;;2 = Negative;;
Saya mendownload Spotify karena langsung tertera lirik lagunya di setiap lagu, tapi kenapa sekarang banyak lagu yang sebelumnya saya putar terdapat lirik lagu menjadi tidak dapat memuat lirik lagu walaupun saya sudah memperbaharui aplikasi yang terbaru sekalipun? Mohon pihak Spotify diperbaiki lagi untuk kenyamanan semua pengguna. Terimakasih.,3;3;Negative;;;;;1 = Negative;;
Emang fitur yang diberikan untuk pengguna gratisan dibatasi, dan aku terima2 aja karena emang pake gratis. Tapi ada satu yang bikin gw kesel, walau udah premium tetep sama aja gak berubah, yaitu kenapa spotify skrg gak bisa dipakai di latar belakang? Padahal keunggulan spotify yg bikin aku pake terus ya itu, tapi sekarang tiap keluar aplikasi atau matiin hp, lagu yg diputar selalu berhenti. Kalo ingin denger lagu harus ada di aplikasi dan layarnya harus hidup. Semoga diperbaiki,1;1;Negative;;;;;;;
Sekarang kek nge bug gitu aplikasinya kadang lagunya berhenti sendiri trus kalau mau nge play malah kembali ke awal lagu, kebanyakan iklan podcast horornya jadi buat nggak nyaman, trus sekarang lirik nya kenapa ya banyak yang nggak ada atau nggak bisa di tampilkan? Mohon segera di perbaiki ya pihak Spotify terimakasihhhh,1;1;Negative;;;;;;;
Jujur aja spotify itu bagus bgt, apalagi buat pecinta musik. Selain buat dengerin musik spotify juga bisa buat dengerin potcast. Tapi, ada masalah yang sering bikin kesel, yaitu liriknya sering banget gak keluar, jadi pas saya mau nyimak liriknya eh malah gaada, dan itu ga ke 1 atau 2 lagu tapi hampir semua. Mohon bantuannya dong developer nya, makasih,4;4;Positive;;;;;;;
aplikasi untuk mendengar lagu terbaik menurut saya saat ini cuman yang disayangkan adalah iklan horor yang terus ditampilkan membuat saya tidak nyaman. harapannya agar spotify bisa lebih mengurangi menampilkan iklan horor dan mengiklankan yg lainnya saja, sekian.,4;4;Positive;;;;;;;
Menurut saya setiap ada pembaharuan, Spotify hanya memperbaiki komponen akun, dan untuk fitur Konsumen jadi menurun, contoh, sinkron lirik dengan waktu yg berjalan dulu sudah banyak lagu yg tersingkron, tetapi setelah update malah jadi tidak singkron.,3;3;Negative;;;;;;;
Spotify saya hanya bisa di pakai saat menggunakan wifi, saat menggunakan data seluler Spotify nya malah offline padahal jaringan bagus data nya juga baru saya isi , dan ini selalu terjadi saat saya ingin mendengar kan lagu di Spotify menggunakan data seluler.,3;3;Negative;;;;;;;
Ini menurut saya apk musik yang sangat jelek & buruk. Saya berniat dengar musik lewat playlist dari artis yang saya sukai... Tapi kenapa selalu tercampur dengan artis lain yang lagunya tidak bisa saya nikmati, jujur saya tidak terlalu terganggu dengan iklan tapi saya sangat SANGAT TERGANGGU jika di playlist yang saya buat tercampur dengan lagu yang tidak saya minati.,1;1;Negative;;;;;;;
